Time resolution is 1 ps
Time=0 | PC=00000000 | Inst(ID)=00000000 | WB_Reg= 0 | WB_Data=00000000 | LED=00 | Stall=0 | Flush=0
Time=25000 | PC=00000004 | Inst(ID)=800001b7 | WB_Reg= 0 | WB_Data=00000000 | LED=00 | Stall=0 | Flush=0
Time=35000 | PC=00000008 | Inst(ID)=00000093 | WB_Reg= 0 | WB_Data=00000000 | LED=00 | Stall=0 | Flush=0
Time=45000 | PC=0000000c | Inst(ID)=00300213 | WB_Reg= 0 | WB_Data=00000000 | LED=00 | Stall=0 | Flush=0
Time=55000 | PC=00000010 | Inst(ID)=0011a023 | WB_Reg= 3 | WB_Data=80000000 | LED=00 | Stall=0 | Flush=0
Time=65000 | PC=00000014 | Inst(ID)=00108093 | WB_Reg= 1 | WB_Data=00000000 | LED=00 | Stall=0 | Flush=0
Time=75000 | PC=00000018 | Inst(ID)=00000113 | WB_Reg= 4 | WB_Data=00000003 | LED=00 | Stall=0 | Flush=0
Time=85000 | PC=0000001c | Inst(ID)=00110113 | WB_Reg= 0 | WB_Data=00000003 | LED=00 | Stall=0 | Flush=0
Time=95000 | PC=00000020 | Inst(ID)=fe411ee3 | WB_Reg= 1 | WB_Data=00000002 | LED=00 | Stall=0 | Flush=0
Time=105000 | PC=00000024 | Inst(ID)=fec180ef | WB_Reg= 2 | WB_Data=00000000 | LED=00 | Stall=0 | Flush=1
Time=115000 | PC=00000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000001 | LED=00 | Stall=0 | Flush=0
Time=125000 | PC=0000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=00 | Stall=0 | Flush=0
Time=135000 | PC=00000020 | Inst(ID)=fe411ee3 | WB_Reg= 0 | WB_Data=00000000 | LED=00 | Stall=0 | Flush=0
Time=145000 | PC=00000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=00 | Stall=0 | Flush=1
Time=155000 | PC=00000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000002 | LED=00 | Stall=0 | Flush=0
Time=165000 | PC=0000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=00 | Stall=0 | Flush=0
